UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741450139258,1920x1080,1920x1080,750x422,45,5037,5296,14.24.,14.26.,avc1.64002A,mp4a.40.2,Low Latency
1741450139658,1920x1080,1920x1080,750x422,45,5037,5296,14.24.,14.26.,avc1.64002A,mp4a.40.2,Low Latency
1741450140059,1920x1080,1920x1080,750x422,53,5037,5203,14.07.,14.26.,avc1.64002A,mp4a.40.2,Low Latency
1741450140459,1920x1080,1920x1080,750x422,53,5037,5203,14.07.,14.26.,avc1.64002A,mp4a.40.2,Low Latency
1741450140862,1920x1080,1920x1080,750x422,53,5037,5203,14.07.,14.26.,avc1.64002A,mp4a.40.2,Low Latency
1741450141264,1920x1080,1920x1080,750x422,66,4973,5203,14.27.,14.50.,avc1.64002A,mp4a.40.2,Low Latency
1741450141665,1920x1080,1920x1080,750x422,66,4973,5203,14.27.,14.50.,avc1.64002A,mp4a.40.2,Low Latency
1741450142066,1920x1080,1920x1080,750x422,64,4973,5402,14.02.,14.50.,avc1.64002A,mp4a.40.2,Low Latency
1741450142468,1920x1080,1920x1080,750x422,64,4973,5402,14.02.,14.50.,avc1.64002A,mp4a.40.2,Low Latency
1741450142868,1920x1080,1920x1080,750x422,64,4973,5402,14.02.,14.50.,avc1.64002A,mp4a.40.2,Low Latency
1741450143269,1920x1080,1920x1080,750x422,74,5002,5402,14.22.,14.36.,avc1.64002A,mp4a.40.2,Low Latency
1741450143671,1920x1080,1920x1080,750x422,74,5002,5402,14.22.,14.36.,avc1.64002A,mp4a.40.2,Low Latency
1741450144073,1920x1080,1920x1080,750x422,53,5002,5418,14.05.,14.36.,avc1.64002A,mp4a.40.2,Low Latency
1741450144473,1920x1080,1920x1080,750x422,53,5002,5418,14.05.,14.36.,avc1.64002A,mp4a.40.2,Low Latency
1741450144873,1920x1080,1920x1080,750x422,53,5002,5418,14.05.,14.36.,avc1.64002A,mp4a.40.2,Low Latency
1741450145274,1920x1080,1920x1080,750x422,70,5035,5418,14.17.,14.20.,avc1.64002A,mp4a.40.2,Low Latency
1741450145675,1920x1080,1920x1080,750x422,70,5035,5418,14.17.,14.20.,avc1.64002A,mp4a.40.2,Low Latency
1741450146082,1920x1080,1920x1080,750x422,60,5035,5438,14.03.,14.20.,avc1.64002A,mp4a.40.2,Low Latency
1741450146483,1920x1080,1920x1080,750x422,60,5035,5438,14.03.,14.20.,avc1.64002A,mp4a.40.2,Low Latency
1741450146884,1920x1080,1920x1080,750x422,60,5035,5438,14.03.,14.20.,avc1.64002A,mp4a.40.2,Low Latency
1741450147286,1920x1080,1920x1080,750x422,76,5044,5438,14.21.,14.38.,avc1.64002A,mp4a.40.2,Low Latency
1741450147686,1920x1080,1920x1080,750x422,76,5044,5438,14.21.,14.38.,avc1.64002A,mp4a.40.2,Low Latency
1741450148091,1920x1080,1920x1080,750x422,45,5044,5321,14.02.,14.38.,avc1.64002A,mp4a.40.2,Low Latency
1741450148491,1920x1080,1920x1080,750x422,45,5044,5321,14.02.,14.38.,avc1.64002A,mp4a.40.2,Low Latency
1741450148894,1920x1080,1920x1080,750x422,45,5044,5321,14.02.,14.38.,avc1.64002A,mp4a.40.2,Low Latency
1741450149294,1920x1080,1920x1080,750x422,56,4932,5321,14.14.,14.23.,avc1.64002A,mp4a.40.2,Low Latency
1741450149696,1920x1080,1920x1080,750x422,56,4932,5321,14.14.,14.23.,avc1.64002A,mp4a.40.2,Low Latency
1741450150097,1920x1080,1920x1080,750x422,64,4932,5361,13.99.,14.23.,avc1.64002A,mp4a.40.2,Low Latency
1741450150497,1920x1080,1920x1080,750x422,64,4932,5361,13.99.,14.23.,avc1.64002A,mp4a.40.2,Low Latency
1741450150898,1920x1080,1920x1080,750x422,64,4932,5361,13.99.,14.23.,avc1.64002A,mp4a.40.2,Low Latency
1741450151298,1920x1080,1920x1080,750x422,57,4967,5361,14.15.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450151699,1920x1080,1920x1080,750x422,57,4967,5361,14.15.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450152099,1920x1080,1920x1080,750x422,72,4967,5361,13.96.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450152500,1920x1080,1920x1080,750x422,72,4967,5361,13.96.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450152901,1920x1080,1920x1080,750x422,72,4967,5361,13.96.,14.39.,avc1.64002A,mp4a.40.2,Low Latency
1741450153302,1920x1080,1920x1080,750x422,74,5023,5320,14.17.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450153703,1920x1080,1920x1080,750x422,74,5023,5320,14.17.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450154103,1920x1080,1920x1080,750x422,64,5023,5781,14.01.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450154503,1920x1080,1920x1080,750x422,64,5023,5781,14.01.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450154903,1920x1080,1920x1080,750x422,64,5023,5781,14.01.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450155303,1920x1080,1920x1080,750x422,77,5009,5781,14.14.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450155703,1920x1080,1920x1080,750x422,77,5009,5781,14.14.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450156102,1920x1080,1920x1080,750x422,57,5009,5435,13.95.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450156503,1920x1080,1920x1080,750x422,57,5009,5435,13.95.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450156906,1920x1080,1920x1080,750x422,57,5009,5435,13.95.,14.35.,avc1.64002A,mp4a.40.2,Low Latency
1741450157306,1920x1080,1920x1080,750x422,72,4995,5435,14.02.,14.27.,avc1.64002A,mp4a.40.2,Low Latency
1741450157705,1920x1080,1920x1080,750x422,72,4995,5435,14.02.,14.27.,avc1.64002A,mp4a.40.2,Low Latency
1741450158106,1920x1080,1920x1080,750x422,85,4995,5393,13.99.,14.27.,avc1.64002A,mp4a.40.2,Low Latency
1741450158507,1920x1080,1920x1080,750x422,85,4995,5393,13.99.,14.27.,avc1.64002A,mp4a.40.2,Low Latency
1741450158908,1920x1080,1920x1080,750x422,85,4995,5393,13.99.,14.27.,avc1.64002A,mp4a.40.2,Low Latency
1741450159308,1920x1080,1920x1080,750x422,82,5115,5393,14.23.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450159711,1920x1080,1920x1080,750x422,82,5115,5393,14.23.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450160111,1920x1080,1920x1080,750x422,53,5115,5258,15.02.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450160512,1920x1080,1920x1080,750x422,53,5115,5258,15.02.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450160913,1920x1080,1920x1080,750x422,53,5115,5258,15.02.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450161313,1920x1080,1920x1080,750x422,53,5115,5258,16.21.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450161718,1920x1080,1920x1080,750x422,53,5115,5258,16.21.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450162118,1920x1080,1920x1080,750x422,53,5115,5251,17.02.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450162518,1920x1080,1920x1080,750x422,53,5115,5251,17.02.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450162918,1920x1080,1920x1080,750x422,53,5115,5251,17.02.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450163320,1920x1080,1920x1080,750x422,N/A,4933,5251,17.44.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450163720,1920x1080,1920x1080,750x422,N/A,4933,5251,17.44.,14.34.,avc1.64002A,mp4a.40.2,Low Latency
1741450164120,1920x1080,1920x1080,750x422,N/A,4933,5770,17.25.,17.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450164521,1920x1080,1920x1080,750x422,N/A,4933,5770,17.25.,17.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450164921,1920x1080,1920x1080,750x422,N/A,4933,5770,17.25.,17.46.,avc1.64002A,mp4a.40.2,Low Latency
1741450165323,1920x1080,1920x1080,750x422,N/A,5355,5770,17.38.,17.46.,avc1.64002A,mp4a.40.2,Low Latency
