UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741553040924,1920x1080,1920x1080,750x422,79,7626,7984,23.52.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
1741553042124,1920x1080,1920x1080,750x422,49,7626,7984,22.49.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
1741553042527,1920x1080,1920x1080,750x422,53,7304,9431,24.25.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
1741553042930,1920x1080,1920x1080,750x422,53,7304,9431,24.25.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
1741553043330,1920x1080,1920x1080,750x422,53,7304,9431,24.25.,24.51.,avc1.64002A,mp4a.40.2,Low Latency
1741553043731,1920x1080,1920x1080,750x422,58,7304,9431,24.25.,24.65.,avc1.64002A,mp4a.40.2,Low Latency
1741553044131,1920x1080,1920x1080,750x422,58,7304,9431,24.25.,24.65.,avc1.64002A,mp4a.40.2,Low Latency
1741553044534,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553044935,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553045336,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553045737,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553046138,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553046538,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553046938,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553047339,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553047740,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553048141,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553048542,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553048943,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553049344,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553049745,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553050146,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553050547,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553050947,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553051348,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553051748,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553052149,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553052550,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553052951,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553053351,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553053752,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553054152,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553054552,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553054953,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553055354,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553055755,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553056155,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553056556,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553056956,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553057357,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553057757,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553058157,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553058558,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553058958,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553059359,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553059760,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553060160,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553060560,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553060961,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553061361,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553061762,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
1741553062162,1920x1080,1920x1080,750x422,53,7694,9292,24.20.,24.50.,avc1.64002A,mp4a.40.2,Low Latency
