UTC,Voltage (V),Current (A),Active Power (W),Computed Power (W),Frequency (Hz),Apparent Power (VA),Power Factor (PF),Total Energy (Wh),Resettable Energy (Wh),Elapsed Time (µs)
1740558802092,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16142.129898071289
1740558802119,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16007.423400878906
1740558802148,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15986.204147338867
1740558802176,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16047.477722167969
1740558802204,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16207.93342590332
1740558802233,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16510.009765625
1740558802261,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16235.828399658203
1740558802289,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15861.034393310547
1740558802317,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15860.319137573242
1740558802346,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16415.834426879883
1740558802375,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16433.4774017334
1740558802404,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16002.655029296875
1740558802432,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16165.25650024414
1740558802459,233,0.014,2,1.96,49.98,3,0.601,32919,32919,15722.990036010742
1740558802488,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16055.107116699219
1740558802536,233,0.014,2,1.96,49.98,3,0.601,32919,32919,35927.05726623535
1740558802565,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16172.170639038086
1740558802593,233,0.014,2,1.96,49.98,3,0.601,32919,32919,16291.618347167969
1740558802622,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16414.403915405273
1740558802651,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16375.541687011719
1740558802679,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15826.702117919922
1740558802707,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16263.723373413086
1740558802736,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16395.80726623535
1740558802764,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15610.456466674805
1740558802792,233,0.014,2,1.951,49.99,3,0.598,32919,32919,16434.431076049805
1740558802820,233,0.014,2,1.951,49.99,3,0.598,32919,32919,15842.914581298828
