UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741452061508,640x360,640x360,750x422,34,554,743,15.32.,15.92.,avc1.4D401F,mp4a.40.2,Low Latency
1741452061908,640x360,640x360,750x422,45,554,743,15.33.,15.80.,avc1.4D401F,mp4a.40.2,Low Latency
1741452062308,640x360,640x360,750x422,45,554,743,15.33.,15.80.,avc1.4D401F,mp4a.40.2,Low Latency
1741452062711,640x360,640x360,750x422,45,554,743,15.33.,15.80.,avc1.4D401F,mp4a.40.2,Low Latency
1741452063112,640x360,640x360,750x422,45,571,779,15.30.,15.80.,avc1.4D401F,mp4a.40.2,Low Latency
1741452063511,640x360,640x360,750x422,45,571,779,15.30.,15.80.,avc1.4D401F,mp4a.40.2,Low Latency
1741452063912,640x360,640x360,750x422,26,571,779,15.27.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741452064312,640x360,640x360,750x422,26,571,779,15.27.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741452064714,640x360,640x360,750x422,26,571,779,15.27.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741452065115,640x360,640x360,750x422,26,618,832,15.24.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741452065516,640x360,640x360,750x422,26,618,832,15.24.,15.66.,avc1.4D401F,mp4a.40.2,Low Latency
1741452065916,640x360,640x360,750x422,34,618,832,15.12.,15.78.,avc1.4D401F,mp4a.40.2,Low Latency
1741452066318,640x360,640x360,750x422,34,618,832,15.12.,15.78.,avc1.4D401F,mp4a.40.2,Low Latency
1741452066719,640x360,640x360,750x422,34,618,832,15.12.,15.78.,avc1.4D401F,mp4a.40.2,Low Latency
1741452067119,640x360,640x360,750x422,42,477,714,15.12.,15.78.,avc1.4D401F,mp4a.40.2,Low Latency
1741452067519,640x360,640x360,750x422,42,477,714,15.12.,15.78.,avc1.4D401F,mp4a.40.2,Low Latency
1741452067919,640x360,640x360,750x422,34,477,714,15.09.,15.65.,avc1.4D401F,mp4a.40.2,Low Latency
1741452068320,640x360,640x360,750x422,34,477,714,15.09.,15.65.,avc1.4D401F,mp4a.40.2,Low Latency
1741452068720,640x360,640x360,750x422,34,477,714,15.09.,15.65.,avc1.4D401F,mp4a.40.2,Low Latency
1741452069121,640x360,640x360,750x422,22,628,786,15.12.,15.65.,avc1.4D401F,mp4a.40.2,Low Latency
1741452069521,640x360,640x360,750x422,22,628,786,15.12.,15.65.,avc1.4D401F,mp4a.40.2,Low Latency
1741452069923,640x360,640x360,750x422,23,628,786,15.10.,15.49.,avc1.4D401F,mp4a.40.2,Low Latency
1741452070323,640x360,640x360,750x422,23,628,786,15.10.,15.49.,avc1.4D401F,mp4a.40.2,Low Latency
