UTC_Timestamp,Download_Resolution,Download_Bitrate,Bandwidth_Estimate,FPS,Skipped_Frames,Buffer_Size,Latency_To_Broadcaster,Codecs,Protocol,Latency_Mode
1741548041890,640x360,640x360,750x422,34,575,767,14.66.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548042289,640x360,640x360,750x422,34,575,767,14.66.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548042690,640x360,640x360,750x422,34,542,727,14.63.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548043093,640x360,640x360,750x422,34,542,727,14.63.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548043493,640x360,640x360,750x422,34,542,727,14.63.,15.18.,avc1.4D401F,mp4a.40.2,Low Latency
1741548043894,640x360,640x360,750x422,30,542,727,14.59.,15.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741548044294,640x360,640x360,750x422,30,542,727,14.59.,15.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741548044695,640x360,640x360,750x422,29,564,731,14.63.,15.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741548045095,640x360,640x360,750x422,29,564,731,14.63.,15.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741548045496,640x360,640x360,750x422,29,564,731,14.63.,15.31.,avc1.4D401F,mp4a.40.2,Low Latency
1741548045896,640x360,640x360,750x422,34,564,731,14.60.,15.16.,avc1.4D401F,mp4a.40.2,Low Latency
1741548046296,640x360,640x360,750x422,34,564,731,14.60.,15.16.,avc1.4D401F,mp4a.40.2,Low Latency
1741548046697,640x360,640x360,750x422,34,565,752,14.51.,15.16.,avc1.4D401F,mp4a.40.2,Low Latency
1741548047097,640x360,640x360,750x422,34,565,752,14.51.,15.16.,avc1.4D401F,mp4a.40.2,Low Latency
1741548047498,640x360,640x360,750x422,34,565,752,14.51.,15.16.,avc1.4D401F,mp4a.40.2,Low Latency
1741548047899,640x360,640x360,750x422,30,565,752,14.50.,15.03.,avc1.4D401F,mp4a.40.2,Low Latency
1741548048299,640x360,640x360,750x422,30,565,752,14.50.,15.03.,avc1.4D401F,mp4a.40.2,Low Latency
1741548048700,640x360,640x360,750x422,29,632,792,14.44.,15.03.,avc1.4D401F,mp4a.40.2,Low Latency
1741548049100,640x360,640x360,750x422,29,632,792,14.44.,15.03.,avc1.4D401F,mp4a.40.2,Low Latency
1741548049503,640x360,640x360,750x422,29,632,792,14.44.,15.03.,avc1.4D401F,mp4a.40.2,Low Latency
1741548049904,640x360,640x360,750x422,26,632,792,14.45.,15.17.,avc1.4D401F,mp4a.40.2,Low Latency
1741548050305,640x360,640x360,750x422,26,632,792,14.45.,15.17.,avc1.4D401F,mp4a.40.2,Low Latency
1741548050706,640x360,640x360,750x422,26,632,651,14.39.,15.17.,avc1.4D401F,mp4a.40.2,Low Latency
1741548051106,640x360,640x360,750x422,26,632,651,14.39.,15.17.,avc1.4D401F,mp4a.40.2,Low Latency
